,,smolLM2-135m,,,,Qwen3-0.6b,,,,Llama2-7b,,,,Llama3-8b,,,,Qwen3-8b,,,
,,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO
FP16,,15.431,21.355,0.6839,0.54538,20.957,30.329,0.67301,0.56038,5.472,7.266,0.78346,0.74349,6.137,9.446,0.80577,0.78216,11.994,19.197,0.74048,0.6764
W16A4,NVFP4 GPTQ,17.969,24.439,0.651,0.532,23.084,32.887,0.6518,0.53986,5.587,7.418,0.77693,0.74428,6.449,9.966,0.80196,0.75138,12.188,19.554,0.73123,0.67719
,NVFP4 MR-GPTQ,19.204,26.053,0.646,0.503,23.672,34.054,0.642,0.54617,5.615,7.449,0.784,0.72534,6.556,10.066,0.79761,0.76322,12.358,19.632,0.73395,0.65114
,,6.87%,6.60%,-0.77%,-5.45%,2.55%,3.55%,-1.50%,1.17%,0.50%,0.42%,0.91%,-2.54%,1.66%,1.00%,-0.54%,1.58%,1.39%,0.40%,0.37%,-3.85%
,,,,,,,,,,,,,,,,,,,,,
,MXFP4 GPTQ,,,,,27.746,38.665,0.62677,0.52092,5.868,7.751,0.78346,0.71113,6.987,10.864,0.77911,0.74586,12.825,20.715,0.70892,0.64957
,MXFP4 MR-GPTQ,,,,,25.285,35.616,0.65288,0.53907,5.673,7.545,0.77965,0.71429,6.656,10.341,0.79543,0.74507,12.702,20.306,0.72198,0.6693
,,,,,,-8.87%,-7.89%,4.17%,3.48%,-3.32%,-2.66%,-0.49%,0.44%,-4.74%,-4.81%,2.09%,-0.11%,-0.96%,-1.97%,1.84%,3.04%
,,,,,,,,,,,,,,,,,,,,,
W4A16,NVFP4 GPTQ,17.644,24.252,0.66485,0.51381,23.165,32.943,0.6605,0.57143,5.615,7.444,0.78128,0.73402,6.433,10.027,0.79869,0.76796,12.33,19.602,0.73776,0.6835
,NVFP4 MR-GPTQ,16.911,23.337,0.66812,0.54301,22.643,32.183,0.66104,0.55485,5.606,7.447,0.77856,0.73796,6.433,10.006,0.79053,0.77664,12.245,19.494,0.73885,0.66851
,,-4.15%,-3.77%,0.49%,5.68%,-2.25%,-2.31%,0.08%,-2.90%,-0.16%,0.04%,-0.35%,0.54%,0.00%,-0.21%,-1.02%,1.13%,-0.69%,-0.55%,0.15%,-2.19%
,,,,,,,,,,,,,,,,,,,,,
,MXFP4 GPTQ,,,,,25.112,35.523,0.65288,0.55801,5.659,7.569,0.78346,0.73481,6.627,10.456,0.78781,0.7577,12.341,19.615,0.73504,0.6835
,MXFP4 MR-GPTQ,,,,,23.108,33.096,0.65615,0.5438,5.702,7.541,0.78183,0.73875,6.621,10.369,0.79706,0.76164,12.366,19.644,0.72797,0.67088
,,,,,,-7.98%,-6.83%,0.50%,-2.55%,0.76%,-0.37%,-0.21%,0.54%,-0.09%,-0.83%,1.17%,0.52%,0.20%,0.15%,-0.96%,-1.85%
