,,smolLM2-135m,,,,Qwen3-0.6b,,,,Llama2-7b,,,,Llama3-8b,,,,Qwen3-8b,,,
,,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO,wiki2,C4,PIQA,WINO
FP16,,15.431,21.355,0.6839,0.54538,20.957,30.329,0.67301,0.56038,5.472,7.266,0.78346,0.74349,6.137,9.446,0.80577,0.78216,11.994,19.197,0.74048,0.6764
W4A4,NVFP4 GPTQ,21.056,28.255,0.63983,0.52565,25.99,36.129,0.64363,0.55564,5.743,7.635,0.77911,0.73244,6.748,10.599,0.79271,0.74743,12.479,19.981,0.72416,0.66456
,NVFP4 MR-GPTQ,21.928,29.692,0.64037,0.53039,26.47,36.724,0.64581,0.54144,5.762,7.643,0.77911,0.72691,6.848,10.659,0.78999,0.7577,12.641,20.002,0.73014,0.66456
,,4.14%,5.09%,0.08%,0.90%,1.85%,1.65%,0.34%,-2.56%,0.33%,0.10%,0.00%,-0.76%,1.48%,0.57%,-0.34%,1.37%,1.30%,0.11%,0.83%,0.00%
,,,,,,,,,,,,,,,,,,,,,
,MXFP4 GPTQ,,,,,34.079,46.358,0.60501,0.51302,6.123,8.141,0.76768,0.70324,7.55,11.919,0.7568,0.73244,13.292,21.462,0.716,0.65509
,MXFP4 MR-GPTQ,,,,,28.935,39.911,0.63112,0.52644,5.901,7.897,0.77639,0.71586,7.177,11.323,0.77693,0.75612,13.211,20.827,0.72198,0.6543
,,,,,,-15.09%,-13.91%,4.32%,2.62%,-3.63%,-3.00%,1.13%,1.79%,-4.94%,-5.00%,2.66%,3.23%,-0.61%,-2.96%,0.84%,-0.12%
,,,,,,,,,,,,,,,,,,,,,
